reviewId,userId,trainingId,organisationScore,communicationMarks,hardWorkingMarks,disciplineMarks
1,190,79,85,1,0,1
2,77,12,68,1,0,1
3,72,61,25,0,0,1
4,181,21,85,0,0,1
5,168,69,28,0,1,1
6,191,34,74,1,1,0
7,88,73,83,0,0,1
8,111,66,94,0,1,1
9,160,93,44,0,0,1
10,267,69,24,0,1,1
11,167,15,33,1,0,0
12,256,39,92,1,1,1
13,224,52,10,1,0,0
14,175,10,10,1,0,0
15,215,70,85,0,1,1
16,173,84,87,0,1,0
17,190,84,30,1,0,1
18,5,98,98,1,0,1
19,232,71,82,0,1,0
20,55,9,34,1,0,1
21,227,30,66,0,0,0
22,184,20,1,1,0,0
23,37,1,61,1,1,1
24,28,94,81,1,0,1
25,100,27,80,0,1,1
26,209,10,66,1,0,0
27,20,35,1,1,1,1
28,148,7,74,0,0,1
29,188,56,47,1,0,0
30,106,27,30,0,1,0
31,83,95,33,1,0,1
32,273,92,90,0,0,1
33,171,15,10,1,0,0
34,297,43,56,1,0,0
35,213,41,1,0,0,1
36,87,69,10,0,0,1
37,166,55,68,0,0,0
38,188,88,36,0,1,0
39,32,20,85,0,0,1
40,222,83,48,1,1,0
41,180,7,31,1,0,1
42,183,49,36,0,0,0
43,225,76,30,1,0,0
44,231,36,24,0,0,0
45,172,1,49,0,1,0
46,235,11,51,1,1,1
47,35,34,38,1,1,0
48,179,92,100,0,0,1
49,275,30,37,1,1,0
50,253,67,7,0,0,1
51,150,36,98,0,0,0
52,181,48,64,1,0,0
53,19,90,34,1,1,0
54,8,36,74,0,0,1
55,267,33,77,1,0,0
56,112,78,90,0,1,0
57,273,83,74,0,0,1
58,170,77,53,0,0,0
59,245,86,66,1,1,1
60,297,27,70,0,1,1
61,151,32,77,1,0,1
62,73,39,95,1,0,1
63,119,43,27,1,0,0
64,249,6,66,1,0,0
65,262,50,30,1,0,1
66,266,12,92,0,1,0
67,139,27,65,1,0,0
68,204,6,9,1,1,1
69,234,92,19,1,1,1
70,183,6,72,0,1,0
71,26,7,52,0,0,1
72,281,14,19,1,1,1
73,207,35,25,0,1,0
74,148,72,3,0,0,1
75,66,2,80,1,0,1
76,13,30,94,0,1,1
77,28,57,58,0,0,0
78,43,79,39,0,1,1
79,227,72,80,0,1,0
80,10,85,94,1,1,0
81,98,35,6,0,0,0
82,130,17,30,0,1,0
83,175,91,91,1,1,0
84,146,44,84,0,0,0
85,68,48,11,0,1,1
86,192,2,1,0,1,1
87,299,42,48,0,1,0
88,149,97,49,0,1,0
89,271,84,39,1,0,1
90,123,26,97,0,0,0
91,216,65,29,0,0,1
92,167,18,43,1,0,0
93,4,18,63,1,1,0
94,94,32,20,0,0,1
95,246,39,20,1,1,0
96,62,21,85,0,1,0
97,182,12,61,1,1,0
98,28,17,15,1,0,1
99,44,70,77,0,1,0
100,78,20,28,0,1,0
101,73,85,56,0,1,0
102,297,64,47,0,0,0
103,137,63,89,1,0,0
104,265,25,86,0,0,0
105,147,12,82,0,1,0
106,160,9,15,1,1,1
107,242,28,23,1,0,0
108,5,93,45,0,0,1
109,193,8,79,0,1,1
110,19,79,86,0,1,0
111,290,50,55,1,0,0
112,29,12,94,0,0,0
113,267,22,65,0,1,1
114,130,81,93,0,0,0
115,35,92,69,0,1,1
116,278,58,12,1,0,0
117,228,82,67,1,0,1
118,64,29,7,0,1,1
119,177,92,37,0,1,1
120,250,76,10,1,1,1
121,163,61,4,1,0,1
122,107,41,3,0,0,0
123,257,62,27,1,1,0
124,178,18,54,1,0,0
125,278,23,36,1,0,0
126,51,67,35,0,0,0
127,263,75,82,1,0,1
128,259,97,52,1,0,0
129,204,19,71,1,1,1
130,93,2,88,1,0,1
131,129,4,1,0,0,0
132,142,28,60,0,1,1
133,177,67,13,0,0,0
134,40,57,13,1,0,0
135,98,97,53,0,0,1
136,61,10,46,0,0,0
137,103,54,98,0,0,0
138,280,23,78,0,1,0
139,31,52,1,0,0,1
140,64,41,91,0,0,1
141,71,11,75,0,0,1
142,112,19,30,0,1,0
143,172,33,53,0,0,1
144,31,37,75,0,1,1
145,121,89,5,0,0,0
146,14,32,97,1,1,1
147,252,11,94,1,1,1
148,186,36,18,0,1,1
149,224,93,56,1,1,0
150,125,15,86,1,1,1
151,178,25,69,1,0,1
152,55,54,30,0,0,0
153,78,15,58,1,1,1
154,116,54,86,1,0,1
155,254,100,21,0,0,0
156,169,67,92,0,0,1
157,177,47,38,1,1,0
158,253,98,47,1,0,0
159,57,3,48,1,1,1
160,270,29,38,1,0,0
161,64,48,26,1,0,1
162,53,50,53,0,0,1
163,77,17,53,0,0,1
164,67,47,72,0,1,1
165,15,54,20,1,1,1
166,10,29,83,1,0,0
167,95,15,9,0,0,0
168,242,69,34,1,0,0
169,293,14,34,0,0,1
170,199,67,91,0,1,0
171,36,71,30,0,0,0
172,297,83,0,1,1,1
173,136,91,17,0,0,0
174,204,84,49,1,1,0
175,231,56,74,0,1,0
176,249,26,88,1,0,0
177,141,48,1,0,1,0
178,134,7,61,1,1,1
179,248,56,24,0,1,0
180,53,40,51,1,1,0
181,140,77,53,0,1,1
182,3,97,64,1,1,1
183,284,85,46,0,0,1
184,197,85,90,0,1,0
185,259,84,74,1,0,1
186,96,61,23,0,0,1
187,261,46,92,0,0,1
188,171,36,96,1,1,0
189,7,22,15,1,1,1
190,290,71,28,0,0,0
191,46,65,97,1,0,1
192,87,83,60,1,0,0
193,116,15,13,0,1,1
194,253,96,8,1,1,0
195,16,59,30,0,0,0
196,60,72,40,0,1,0
197,170,67,93,1,1,0
198,133,41,5,1,1,1
199,119,39,44,1,1,1
200,53,41,38,1,1,1
201,117,18,56,1,1,1
202,143,36,79,1,1,0
203,18,1,52,1,0,0
204,269,45,69,1,0,0
205,31,66,73,1,1,1
206,202,62,13,0,0,1
207,230,79,32,1,1,1
208,153,97,54,1,1,1
209,137,99,30,1,1,1
210,271,46,92,0,0,0
211,268,23,42,0,0,1
212,256,13,82,0,1,1
213,276,33,58,0,1,0
214,95,69,1,0,0,0
215,63,52,15,0,1,1
216,277,36,73,0,1,0
217,74,92,41,0,0,1
218,289,70,26,0,1,1
219,203,96,19,1,1,0
220,174,18,40,1,0,1
221,76,89,50,0,1,1
222,202,99,17,1,1,1
223,208,89,80,0,1,0
224,51,34,54,0,0,0
225,177,34,88,0,1,0
226,27,66,5,1,0,0
227,206,54,69,0,1,0
228,113,54,80,0,1,1
229,84,22,73,0,0,0
230,259,37,28,0,1,1
231,112,75,86,1,1,1
232,297,18,96,0,1,1
233,165,26,25,0,0,1
234,151,72,97,0,1,0
235,202,40,51,0,1,1
236,148,91,64,0,1,0
237,110,96,76,0,1,1
238,77,82,1,1,1,1
239,207,34,66,0,1,1
240,193,88,80,1,0,0
241,219,54,41,0,0,0
242,181,96,54,0,0,0
243,33,94,20,1,0,0
244,202,82,68,1,1,0
245,191,56,65,1,1,0
246,221,52,36,0,1,0
247,101,22,33,0,0,0
248,171,67,19,1,0,0
249,193,64,39,0,0,1
250,203,32,71,1,1,1
251,93,93,100,0,0,0
252,296,37,57,1,0,1
253,48,91,44,1,1,0
254,96,47,96,1,1,1
255,226,51,98,1,0,0
256,171,90,4,1,0,1
257,123,40,85,1,0,1
258,214,6,19,0,0,1
259,59,2,73,0,0,0
260,245,48,5,1,1,0
261,151,99,3,0,0,0
262,31,25,48,1,1,1
263,206,18,34,0,1,1
264,270,39,41,0,1,0
265,148,73,79,0,0,1
266,203,91,38,1,1,1
267,198,5,83,0,1,0
268,18,47,60,0,0,1
269,115,49,45,0,0,0
270,90,47,94,1,1,1
271,149,3,100,0,1,1
272,298,41,70,0,0,0
273,41,11,76,1,1,0
274,270,11,56,1,1,1
275,128,68,70,1,1,0
276,131,82,5,0,0,0
277,111,56,95,0,1,1
278,49,3,40,1,1,1
279,151,3,64,0,0,1
280,296,37,45,0,1,0
281,55,61,69,1,0,1
282,274,79,30,1,0,0
283,131,63,77,1,0,0
284,55,28,80,0,1,0
285,102,70,12,0,0,0
286,34,65,40,1,0,1
287,263,42,3,1,1,1
288,10,1,60,0,0,1
289,202,50,51,1,0,1
290,34,69,24,1,0,1
291,234,79,68,1,0,0
292,295,9,82,0,1,0
293,122,75,84,0,0,1
294,203,20,73,0,0,0
295,151,8,38,0,0,0
296,288,61,33,1,1,1
297,286,34,38,0,1,1
298,239,47,88,1,1,1
299,100,1,70,0,0,1
300,59,3,59,0,0,1
301,139,79,11,1,0,0
302,47,97,68,1,1,0
303,259,29,83,1,0,0
304,274,61,12,0,0,1
