reviewId,userId,trainingId,organisationScore,communicationMarks,hardWorkingMarks,disciplineMarks,performanceScore
1,190,79,85,1,0,1,2
2,77,12,68,1,0,1,2
3,72,61,25,0,0,1,1
4,181,21,85,0,0,1,1
5,168,69,28,0,1,1,2
6,191,34,74,1,1,0,2
7,88,73,83,0,0,1,1
8,111,66,94,0,1,1,2
9,160,93,44,0,0,1,1
10,267,69,24,0,1,1,2
11,167,15,33,1,0,0,1
12,256,39,92,1,1,1,3
13,224,52,10,1,0,0,1
14,175,10,10,1,0,0,1
15,215,70,85,0,1,1,2
16,173,84,87,0,1,0,1
17,190,84,30,1,0,1,2
18,5,98,98,1,0,1,2
19,232,71,82,0,1,0,1
20,55,9,34,1,0,1,2
21,227,30,66,0,0,0,0
22,184,20,1,1,0,0,1
23,37,1,61,1,1,1,3
24,28,94,81,1,0,1,2
25,100,27,80,0,1,1,2
26,209,10,66,1,0,0,1
27,20,35,1,1,1,1,3
28,148,7,74,0,0,1,1
29,188,56,47,1,0,0,1
30,106,27,30,0,1,0,1
31,83,95,33,1,0,1,2
32,273,92,90,0,0,1,1
33,171,15,10,1,0,0,1
34,297,43,56,1,0,0,1
35,213,41,1,0,0,1,1
36,87,69,10,0,0,1,1
37,166,55,68,0,0,0,0
38,188,88,36,0,1,0,1
39,32,20,85,0,0,1,1
40,222,83,48,1,1,0,2
41,180,7,31,1,0,1,2
42,183,49,36,0,0,0,0
43,225,76,30,1,0,0,1
44,231,36,24,0,0,0,0
45,172,1,49,0,1,0,1
46,235,11,51,1,1,1,3
47,35,34,38,1,1,0,2
48,179,92,100,0,0,1,1
49,275,30,37,1,1,0,2
50,253,67,7,0,0,1,1
51,150,36,98,0,0,0,0
52,181,48,64,1,0,0,1
53,19,90,34,1,1,0,2
54,8,36,74,0,0,1,1
55,267,33,77,1,0,0,1
56,112,78,90,0,1,0,1
57,273,83,74,0,0,1,1
58,170,77,53,0,0,0,0
59,245,86,66,1,1,1,3
60,297,27,70,0,1,1,2
61,151,32,77,1,0,1,2
62,73,39,95,1,0,1,2
63,119,43,27,1,0,0,1
64,249,6,66,1,0,0,1
65,262,50,30,1,0,1,2
66,266,12,92,0,1,0,1
67,139,27,65,1,0,0,1
68,204,6,9,1,1,1,3
69,234,92,19,1,1,1,3
70,183,6,72,0,1,0,1
71,26,7,52,0,0,1,1
72,281,14,19,1,1,1,3
73,207,35,25,0,1,0,1
74,148,72,3,0,0,1,1
75,66,2,80,1,0,1,2
76,13,30,94,0,1,1,2
77,28,57,58,0,0,0,0
78,43,79,39,0,1,1,2
79,227,72,80,0,1,0,1
80,10,85,94,1,1,0,2
81,98,35,6,0,0,0,0
82,130,17,30,0,1,0,1
83,175,91,91,1,1,0,2
84,146,44,84,0,0,0,0
85,68,48,11,0,1,1,2
86,192,2,1,0,1,1,2
87,299,42,48,0,1,0,1
88,149,97,49,0,1,0,1
89,271,84,39,1,0,1,2
90,123,26,97,0,0,0,0
91,216,65,29,0,0,1,1
92,167,18,43,1,0,0,1
93,4,18,63,1,1,0,2
94,94,32,20,0,0,1,1
95,246,39,20,1,1,0,2
96,62,21,85,0,1,0,1
97,182,12,61,1,1,0,2
98,28,17,15,1,0,1,2
99,44,70,77,0,1,0,1
100,78,20,28,0,1,0,1
101,73,85,56,0,1,0,1
102,297,64,47,0,0,0,0
103,137,63,89,1,0,0,1
104,265,25,86,0,0,0,0
105,147,12,82,0,1,0,1
106,160,9,15,1,1,1,3
107,242,28,23,1,0,0,1
108,5,93,45,0,0,1,1
109,193,8,79,0,1,1,2
110,19,79,86,0,1,0,1
111,290,50,55,1,0,0,1
112,29,12,94,0,0,0,0
113,267,22,65,0,1,1,2
114,130,81,93,0,0,0,0
115,35,92,69,0,1,1,2
116,278,58,12,1,0,0,1
117,228,82,67,1,0,1,2
118,64,29,7,0,1,1,2
119,177,92,37,0,1,1,2
120,250,76,10,1,1,1,3
121,163,61,4,1,0,1,2
122,107,41,3,0,0,0,0
123,257,62,27,1,1,0,2
124,178,18,54,1,0,0,1
125,278,23,36,1,0,0,1
126,51,67,35,0,0,0,0
127,263,75,82,1,0,1,2
128,259,97,52,1,0,0,1
129,204,19,71,1,1,1,3
130,93,2,88,1,0,1,2
131,129,4,1,0,0,0,0
132,142,28,60,0,1,1,2
133,177,67,13,0,0,0,0
134,40,57,13,1,0,0,1
135,98,97,53,0,0,1,1
136,61,10,46,0,0,0,0
137,103,54,98,0,0,0,0
138,280,23,78,0,1,0,1
139,31,52,1,0,0,1,1
140,64,41,91,0,0,1,1
141,71,11,75,0,0,1,1
142,112,19,30,0,1,0,1
143,172,33,53,0,0,1,1
144,31,37,75,0,1,1,2
145,121,89,5,0,0,0,0
146,14,32,97,1,1,1,3
147,252,11,94,1,1,1,3
148,186,36,18,0,1,1,2
