reviewId,userId,trainingId,organisationScore,discipline,hardWorking,communication
1,190,79,85,True,False,True
2,77,12,68,True,False,True
3,72,61,25,True,False,False
4,181,21,85,True,False,False
5,168,69,28,True,True,False
6,191,34,74,False,True,True
7,88,73,83,True,False,False
8,111,66,94,True,True,False
9,160,93,44,True,False,False
10,267,69,24,True,True,False
11,167,15,33,False,False,True
12,256,39,92,True,True,True
13,224,52,10,False,False,True
14,175,10,10,False,False,True
15,215,70,85,True,True,False
16,173,84,87,False,True,False
17,190,84,30,True,False,True
18,5,98,98,True,False,True
19,232,71,82,False,True,False
20,55,9,34,True,False,True
21,227,30,66,False,False,False
22,184,20,1,False,False,True
23,37,1,61,True,True,True
24,28,94,81,True,False,True
25,100,27,80,True,True,False
26,209,10,66,False,False,True
27,20,35,1,True,True,True
28,148,7,74,True,False,False
29,188,56,47,False,False,True
30,106,27,30,False,True,False
31,83,95,33,True,False,True
32,273,92,90,True,False,False
33,171,15,10,False,False,True
34,297,43,56,False,False,True
35,213,41,1,True,False,False
36,87,69,10,True,False,False
37,166,55,68,False,False,False
38,188,88,36,False,True,False
39,32,20,85,True,False,False
40,222,83,48,False,True,True
41,180,7,31,True,False,True
42,183,49,36,False,False,False
43,225,76,30,False,False,True
44,231,36,24,False,False,False
45,172,1,49,False,True,False
46,235,11,51,True,True,True
47,35,34,38,False,True,True
48,179,92,100,True,False,False
49,275,30,37,False,True,True
50,253,67,7,True,False,False
51,150,36,98,False,False,False
52,181,48,64,False,False,True
53,19,90,34,False,True,True
54,8,36,74,True,False,False
55,267,33,77,False,False,True
56,112,78,90,False,True,False
57,273,83,74,True,False,False
58,170,77,53,False,False,False
59,245,86,66,True,True,True
60,297,27,70,True,True,False
61,151,32,77,True,False,True
62,73,39,95,True,False,True
63,119,43,27,False,False,True
64,249,6,66,False,False,True
65,262,50,30,True,False,True
66,266,12,92,False,True,False
67,139,27,65,False,False,True
68,204,6,9,True,True,True
69,234,92,19,True,True,True
70,183,6,72,False,True,False
71,26,7,52,True,False,False
72,281,14,19,True,True,True
73,207,35,25,False,True,False
74,148,72,3,True,False,False
75,66,2,80,True,False,True
76,13,30,94,True,True,False
77,28,57,58,False,False,False
78,43,79,39,True,True,False
79,227,72,80,False,True,False
80,10,85,94,False,True,True
81,98,35,6,False,False,False
82,130,17,30,False,True,False
83,175,91,91,False,True,True
84,146,44,84,False,False,False
85,68,48,11,True,True,False
86,192,2,1,True,True,False
87,299,42,48,False,True,False
88,149,97,49,False,True,False
89,271,84,39,True,False,True
90,123,26,97,False,False,False
91,216,65,29,True,False,False
92,167,18,43,False,False,True
93,4,18,63,False,True,True
94,94,32,20,True,False,False
95,246,39,20,False,True,True
96,62,21,85,False,True,False
97,182,12,61,False,True,True
98,28,17,15,True,False,True
99,44,70,77,False,True,False
100,78,20,28,False,True,False
101,73,85,56,False,True,False
102,297,64,47,False,False,False
103,137,63,89,False,False,True
104,265,25,86,False,False,False
105,147,12,82,False,True,False
106,160,9,15,True,True,True
107,242,28,23,False,False,True
108,5,93,45,True,False,False
109,193,8,79,True,True,False
110,19,79,86,False,True,False
111,290,50,55,False,False,True
112,29,12,94,False,False,False
113,267,22,65,True,True,False
114,130,81,93,False,False,False
115,35,92,69,True,True,False
116,278,58,12,False,False,True
117,228,82,67,True,False,True
118,64,29,7,True,True,False
119,177,92,37,True,True,False
120,250,76,10,True,True,True
121,163,61,4,True,False,True
122,107,41,3,False,False,False
123,257,62,27,False,True,True
124,178,18,54,False,False,True
125,278,23,36,False,False,True
126,51,67,35,False,False,False
127,263,75,82,True,False,True
128,259,97,52,False,False,True
129,204,19,71,True,True,True
130,93,2,88,True,False,True
131,129,4,1,False,False,False
132,142,28,60,True,True,False
133,177,67,13,False,False,False
134,40,57,13,False,False,True
135,98,97,53,True,False,False
136,61,10,46,False,False,False
137,103,54,98,False,False,False
138,280,23,78,False,True,False
139,31,52,1,True,False,False
140,64,41,91,True,False,False
141,71,11,75,True,False,False
142,112,19,30,False,True,False
143,172,33,53,True,False,False
144,31,37,75,True,True,False
145,121,89,5,False,False,False
146,14,32,97,True,True,True
147,252,11,94,True,True,True
148,186,36,18,True,True,False
149,224,93,56,False,True,True
150,125,15,86,True,True,True
151,178,25,69,True,False,True
152,55,54,30,False,False,False
153,78,15,58,True,True,True
154,116,54,86,True,False,True
155,254,100,21,False,False,False
156,169,67,92,True,False,False
157,177,47,38,False,True,True
158,253,98,47,False,False,True
159,57,3,48,True,True,True
160,270,29,38,False,False,True
161,64,48,26,True,False,True
162,53,50,53,True,False,False
163,77,17,53,True,False,False
164,67,47,72,True,True,False
165,15,54,20,True,True,True
166,10,29,83,False,False,True
167,95,15,9,False,False,False
168,242,69,34,False,False,True
169,293,14,34,True,False,False
170,199,67,91,False,True,False
171,36,71,30,False,False,False
172,297,83,0,True,True,True
173,136,91,17,False,False,False
174,204,84,49,False,True,True
175,231,56,74,False,True,False
176,249,26,88,False,False,True
177,141,48,1,False,True,False
178,134,7,61,True,True,True
179,248,56,24,False,True,False
180,53,40,51,False,True,True
181,140,77,53,True,True,False
182,3,97,64,True,True,True
183,284,85,46,True,False,False
184,197,85,90,False,True,False
185,259,84,74,True,False,True
186,96,61,23,True,False,False
187,261,46,92,True,False,False
188,171,36,96,False,True,True
189,7,22,15,True,True,True
190,290,71,28,False,False,False
191,46,65,97,True,False,True
192,87,83,60,False,False,True
193,116,15,13,True,True,False
194,253,96,8,False,True,True
195,16,59,30,False,False,False
196,60,72,40,False,True,False
197,170,67,93,False,True,True
198,133,41,5,True,True,True
199,119,39,44,True,True,True
200,53,41,38,True,True,True
201,117,18,56,True,True,True
202,143,36,79,False,True,True
203,18,1,52,False,False,True
204,269,45,69,False,False,True
205,31,66,73,True,True,True
206,202,62,13,True,False,False
207,230,79,32,True,True,True
208,153,97,54,True,True,True
209,137,99,30,True,True,True
210,271,46,92,False,False,False
211,268,23,42,True,False,False
212,256,13,82,True,True,False
213,276,33,58,False,True,False
214,95,69,1,False,False,False
215,63,52,15,True,True,False
216,277,36,73,False,True,False
