"reviewId","userId","trainingId","organisationScore","discipline","hardWorking","communication"
1,190,79,85,true,false,true
2,77,12,68,true,false,true
3,72,61,25,true,false,false
4,181,21,85,true,false,false
5,168,69,28,true,true,false
6,191,34,74,false,true,true
7,88,73,83,true,false,false
8,111,66,94,true,true,false
9,160,93,44,true,false,false
10,267,69,24,true,true,false
11,167,15,33,false,false,true
12,256,39,92,true,true,true
13,224,52,10,false,false,true
14,175,10,10,false,false,true
15,215,70,85,true,true,false
16,173,84,87,false,true,false
17,190,84,30,true,false,true
18,5,98,98,true,false,true
19,232,71,82,false,true,false
20,55,9,34,true,false,true
21,227,30,66,false,false,false
22,184,20,1,false,false,true
23,37,1,61,true,true,true
24,28,94,81,true,false,true
25,100,27,80,true,true,false
26,209,10,66,false,false,true
27,20,35,1,true,true,true
28,148,7,74,true,false,false
29,188,56,47,false,false,true
30,106,27,30,false,true,false
31,83,95,33,true,false,true
32,273,92,90,true,false,false
33,171,15,10,false,false,true
34,297,43,56,false,false,true
35,213,41,1,true,false,false
36,87,69,10,true,false,false
37,166,55,68,false,false,false
38,188,88,36,false,true,false
39,32,20,85,true,false,false
40,222,83,48,false,true,true
41,180,7,31,true,false,true
42,183,49,36,false,false,false
43,225,76,30,false,false,true
44,231,36,24,false,false,false
45,172,1,49,false,true,false
46,235,11,51,true,true,true
47,35,34,38,false,true,true
48,179,92,100,true,false,false
49,275,30,37,false,true,true
50,253,67,7,true,false,false
51,150,36,98,false,false,false
52,181,48,64,false,false,true
53,19,90,34,false,true,true
54,8,36,74,true,false,false
55,267,33,77,false,false,true
56,112,78,90,false,true,false
57,273,83,74,true,false,false
58,170,77,53,false,false,false
59,245,86,66,true,true,true
60,297,27,70,true,true,false
61,151,32,77,true,false,true
62,73,39,95,true,false,true
63,119,43,27,false,false,true
64,249,6,66,false,false,true
65,262,50,30,true,false,true
66,266,12,92,false,true,false
67,139,27,65,false,false,true
68,204,6,9,true,true,true
69,234,92,19,true,true,true
70,183,6,72,false,true,false
71,26,7,52,true,false,false
72,281,14,19,true,true,true
73,207,35,25,false,true,false
74,148,72,3,true,false,false
75,66,2,80,true,false,true
76,13,30,94,true,true,false
77,28,57,58,false,false,false
78,43,79,39,true,true,false
79,227,72,80,false,true,false
80,10,85,94,false,true,true
81,98,35,6,false,false,false
82,130,17,30,false,true,false
83,175,91,91,false,true,true
84,146,44,84,false,false,false
85,68,48,11,true,true,false
86,192,2,1,true,true,false
87,299,42,48,false,true,false
88,149,97,49,false,true,false
89,271,84,39,true,false,true
90,123,26,97,false,false,false
91,216,65,29,true,false,false
92,167,18,43,false,false,true
93,4,18,63,false,true,true
94,94,32,20,true,false,false
95,246,39,20,false,true,true
96,62,21,85,false,true,false
97,182,12,61,false,true,true
98,28,17,15,true,false,true
99,44,70,77,false,true,false
100,78,20,28,false,true,false
101,73,85,56,false,true,false
102,297,64,47,false,false,false
103,137,63,89,false,false,true
104,265,25,86,false,false,false
105,147,12,82,false,true,false
106,160,9,15,true,true,true
107,242,28,23,false,false,true
108,5,93,45,true,false,false
109,193,8,79,true,true,false
110,19,79,86,false,true,false
111,290,50,55,false,false,true
112,29,12,94,false,false,false
113,267,22,65,true,true,false
114,130,81,93,false,false,false
115,35,92,69,true,true,false
116,278,58,12,false,false,true
117,228,82,67,true,false,true
118,64,29,7,true,true,false
119,177,92,37,true,true,false
120,250,76,10,true,true,true
121,163,61,4,true,false,true
122,107,41,3,false,false,false
123,257,62,27,false,true,true
124,178,18,54,false,false,true
125,278,23,36,false,false,true
126,51,67,35,false,false,false
127,263,75,82,true,false,true
128,259,97,52,false,false,true
129,204,19,71,true,true,true
130,93,2,88,true,false,true
131,129,4,1,false,false,false
132,142,28,60,true,true,false
133,177,67,13,false,false,false
134,40,57,13,false,false,true
135,98,97,53,true,false,false
136,61,10,46,false,false,false
137,103,54,98,false,false,false
138,280,23,78,false,true,false
139,31,52,1,true,false,false
140,64,41,91,true,false,false
141,71,11,75,true,false,false
142,112,19,30,false,true,false
143,172,33,53,true,false,false
144,31,37,75,true,true,false
145,121,89,5,false,false,false
146,14,32,97,true,true,true
147,252,11,94,true,true,true
148,186,36,18,true,true,false
149,224,93,56,false,true,true
150,125,15,86,true,true,true
151,178,25,69,true,false,true
152,55,54,30,false,false,false
153,78,15,58,true,true,true
154,116,54,86,true,false,true
155,254,100,21,false,false,false
156,169,67,92,true,false,false
157,177,47,38,false,true,true
158,253,98,47,false,false,true
159,57,3,48,true,true,true
160,270,29,38,false,false,true
161,64,48,26,true,false,true
162,53,50,53,true,false,false
163,77,17,53,true,false,false
164,67,47,72,true,true,false
165,15,54,20,true,true,true
166,10,29,83,false,false,true
167,95,15,9,false,false,false
168,242,69,34,false,false,true
169,293,14,34,true,false,false
170,199,67,91,false,true,false
171,36,71,30,false,false,false
172,297,83,0,true,true,true
173,136,91,17,false,false,false
174,204,84,49,false,true,true
175,231,56,74,false,true,false
176,249,26,88,false,false,true
177,141,48,1,false,true,false
178,134,7,61,true,true,true
179,248,56,24,false,true,false
180,53,40,51,false,true,true
181,140,77,53,true,true,false
182,3,97,64,true,true,true
183,284,85,46,true,false,false
184,197,85,90,false,true,false
185,259,84,74,true,false,true
186,96,61,23,true,false,false
187,261,46,92,true,false,false
188,171,36,96,false,true,true
189,7,22,15,true,true,true
190,290,71,28,false,false,false
191,46,65,97,true,false,true
192,87,83,60,false,false,true
193,116,15,13,true,true,false
194,253,96,8,false,true,true
195,16,59,30,false,false,false
196,60,72,40,false,true,false
197,170,67,93,false,true,true
198,133,41,5,true,true,true
199,119,39,44,true,true,true
200,53,41,38,true,true,true
201,117,18,56,true,true,true
202,143,36,79,false,true,true
203,18,1,52,false,false,true
204,269,45,69,false,false,true
205,31,66,73,true,true,true
206,202,62,13,true,false,false
207,230,79,32,true,true,true
208,153,97,54,true,true,true
209,137,99,30,true,true,true
210,271,46,92,false,false,false
211,268,23,42,true,false,false
212,256,13,82,true,true,false
213,276,33,58,false,true,false
214,95,69,1,false,false,false
215,63,52,15,true,true,false
216,277,36,73,false,true,false
