"responseId","userId","trainingId","score","responseDate"
1,95,20,2,"2024-10-06"
2,181,28,34,"2024-10-07"
3,146,2,71,"2024-10-07"
4,293,39,4,"2024-10-06"
5,3,86,48,"2024-10-07"
6,282,97,36,"2024-10-06"
7,221,44,44,"2024-10-07"
8,91,3,63,"2024-10-07"
9,17,60,96,"2024-10-07"
10,7,10,89,"2024-10-07"
11,253,68,100,"2024-10-06"
12,142,38,21,"2024-10-07"
13,40,62,78,"2024-10-06"
14,189,92,73,"2024-10-07"
15,229,56,14,"2024-10-06"
16,249,99,89,"2024-10-07"
17,202,15,33,"2024-10-07"
18,100,90,61,"2024-10-06"
19,171,93,46,"2024-10-06"
20,82,7,24,"2024-10-06"
21,253,75,81,"2024-10-07"
22,11,28,43,"2024-10-06"
23,56,98,24,"2024-10-06"
24,11,33,43,"2024-10-07"
25,192,42,92,"2024-10-07"
26,205,4,42,"2024-10-06"
27,294,84,84,"2024-10-07"
28,177,25,62,"2024-10-06"
29,2,84,79,"2024-10-07"
30,34,27,58,"2024-10-07"
31,243,23,76,"2024-10-06"
32,41,35,94,"2024-10-06"
33,151,22,60,"2024-10-07"
34,221,98,59,"2024-10-06"
35,281,61,37,"2024-10-07"
36,245,43,13,"2024-10-07"
37,173,7,40,"2024-10-07"
38,157,7,55,"2024-10-07"
39,256,10,72,"2024-10-07"
40,49,90,1,"2024-10-06"
41,98,67,33,"2024-10-06"
42,52,38,59,"2024-10-07"
43,270,97,12,"2024-10-07"
44,115,7,21,"2024-10-07"
45,162,2,51,"2024-10-07"
46,152,85,7,"2024-10-06"
47,139,50,75,"2024-10-07"
48,121,67,12,"2024-10-07"
49,69,91,91,"2024-10-06"
50,19,72,14,"2024-10-06"
51,118,33,60,"2024-10-06"
52,250,17,51,"2024-10-07"
53,273,40,27,"2024-10-06"
54,88,29,90,"2024-10-06"
55,259,99,21,"2024-10-06"
56,140,77,47,"2024-10-07"
57,23,29,89,"2024-10-07"
58,1,17,41,"2024-10-07"
59,127,28,40,"2024-10-07"
60,50,76,81,"2024-10-07"
61,51,55,21,"2024-10-06"
62,164,53,93,"2024-10-06"
63,195,25,77,"2024-10-07"
64,212,89,48,"2024-10-07"
65,236,53,54,"2024-10-06"
66,26,75,100,"2024-10-06"
67,8,25,86,"2024-10-06"
68,139,41,62,"2024-10-06"
69,14,75,46,"2024-10-06"
70,291,9,68,"2024-10-06"
71,120,64,68,"2024-10-06"
72,127,63,11,"2024-10-07"
73,77,84,21,"2024-10-07"
74,36,48,0,"2024-10-06"
75,190,77,2,"2024-10-06"
76,244,11,52,"2024-10-06"
77,130,13,14,"2024-10-07"
78,286,33,79,"2024-10-06"
79,238,31,59,"2024-10-06"
80,109,47,77,"2024-10-07"
81,25,45,73,"2024-10-06"
82,114,25,68,"2024-10-06"
83,125,73,90,"2024-10-06"
84,92,60,60,"2024-10-06"
85,179,38,10,"2024-10-06"
86,7,79,34,"2024-10-07"
87,176,13,85,"2024-10-07"
88,11,4,43,"2024-10-07"
89,184,15,39,"2024-10-07"
90,112,99,62,"2024-10-06"
91,227,95,81,"2024-10-06"
92,216,25,25,"2024-10-07"
93,19,96,90,"2024-10-06"
94,121,88,35,"2024-10-06"
95,267,9,59,"2024-10-07"
96,104,37,70,"2024-10-06"
97,28,28,75,"2024-10-06"
98,278,54,46,"2024-10-07"
99,189,23,69,"2024-10-07"
100,17,86,60,"2024-10-06"
101,205,49,48,"2024-10-06"
102,275,21,78,"2024-10-07"
103,74,65,92,"2024-10-06"
104,290,52,35,"2024-10-06"
105,247,14,35,"2024-10-07"
106,295,12,76,"2024-10-07"
107,50,10,8,"2024-10-07"
108,17,81,86,"2024-10-07"
109,126,67,77,"2024-10-07"
110,1,39,38,"2024-10-06"
111,167,82,70,"2024-10-06"
112,288,60,38,"2024-10-07"
113,21,40,11,"2024-10-06"
114,65,5,61,"2024-10-07"
115,213,68,40,"2024-10-07"
116,9,83,60,"2024-10-07"
117,185,25,94,"2024-10-06"
118,189,76,66,"2024-10-07"
119,148,4,26,"2024-10-07"
120,222,90,58,"2024-10-07"
121,164,81,67,"2024-10-07"
122,276,49,25,"2024-10-06"
123,22,88,40,"2024-10-07"
124,29,89,25,"2024-10-06"
125,171,29,27,"2024-10-07"
126,128,42,95,"2024-10-06"
127,163,92,56,"2024-10-06"
128,282,11,90,"2024-10-06"
129,164,57,50,"2024-10-06"
130,289,3,86,"2024-10-07"
131,117,77,71,"2024-10-06"
132,122,59,5,"2024-10-06"
133,27,69,9,"2024-10-07"
134,222,76,100,"2024-10-07"
135,270,15,43,"2024-10-07"
136,84,11,66,"2024-10-07"
137,80,90,29,"2024-10-07"
138,261,27,50,"2024-10-07"
139,31,96,79,"2024-10-06"
140,105,81,7,"2024-10-06"
141,223,35,91,"2024-10-07"
142,212,67,92,"2024-10-06"
143,191,31,14,"2024-10-06"
144,235,27,88,"2024-10-06"
145,193,38,32,"2024-10-06"
146,170,10,87,"2024-10-07"
147,40,1,49,"2024-10-07"
148,37,63,68,"2024-10-06"
149,118,58,69,"2024-10-07"
150,42,23,68,"2024-10-07"
151,125,68,48,"2024-10-07"
152,157,49,52,"2024-10-07"
153,118,37,61,"2024-10-06"
154,157,91,39,"2024-10-06"
155,123,87,26,"2024-10-06"
156,37,33,10,"2024-10-07"
157,54,17,52,"2024-10-07"
158,288,74,10,"2024-10-07"
159,244,46,39,"2024-10-07"
160,42,71,14,"2024-10-07"
161,159,29,49,"2024-10-07"
162,177,87,10,"2024-10-07"
163,284,22,66,"2024-10-06"
164,57,2,26,"2024-10-07"
165,65,95,98,"2024-10-07"
166,135,58,77,"2024-10-07"
167,220,26,67,"2024-10-06"
168,293,28,76,"2024-10-07"
169,296,86,83,"2024-10-07"
170,91,57,80,"2024-10-06"
171,181,21,93,"2024-10-06"
172,171,67,72,"2024-10-07"
173,129,93,0,"2024-10-07"
174,299,78,14,"2024-10-06"
175,293,31,34,"2024-10-06"
176,261,91,68,"2024-10-06"
177,257,2,100,"2024-10-06"
178,281,22,32,"2024-10-07"
179,73,32,76,"2024-10-07"
180,27,13,5,"2024-10-07"
181,276,77,60,"2024-10-06"
182,205,39,90,"2024-10-07"
183,160,58,50,"2024-10-07"
184,22,53,74,"2024-10-06"
185,247,63,98,"2024-10-06"
186,159,4,79,"2024-10-06"
187,68,92,45,"2024-10-07"
188,200,48,49,"2024-10-07"
189,59,56,60,"2024-10-06"
190,250,50,5,"2024-10-07"
191,226,58,13,"2024-10-06"
192,92,13,24,"2024-10-06"
193,100,92,96,"2024-10-07"
194,271,90,72,"2024-10-07"
195,197,21,35,"2024-10-07"
196,145,44,76,"2024-10-06"
197,238,2,83,"2024-10-06"
198,201,100,54,"2024-10-06"
199,56,99,62,"2024-10-07"
200,269,81,26,"2024-10-06"
201,155,12,82,"2024-10-06"
202,63,78,65,"2024-10-06"
203,274,82,43,"2024-10-06"
204,291,39,55,"2024-10-07"
205,175,74,19,"2024-10-06"
206,98,59,73,"2024-10-07"
207,196,74,81,"2024-10-07"
208,283,69,20,"2024-10-06"
209,140,12,81,"2024-10-06"
210,77,87,27,"2024-10-07"
211,291,23,50,"2024-10-06"
212,180,54,99,"2024-10-06"
213,48,73,67,"2024-10-06"
214,189,27,22,"2024-10-07"
215,123,81,69,"2024-10-06"
216,282,85,21,"2024-10-06"
217,88,23,83,"2024-10-07"
218,282,63,81,"2024-10-06"
219,182,72,39,"2024-10-07"
220,11,5,43,"2024-10-07"
221,59,20,31,"2024-10-07"
222,216,93,71,"2024-10-07"
223,147,15,9,"2024-10-06"
224,166,36,27,"2024-10-06"
225,37,33,34,"2024-10-07"
226,9,48,47,"2024-10-07"
227,271,84,78,"2024-10-06"
228,86,55,53,"2024-10-06"
229,238,38,7,"2024-10-07"
230,107,17,82,"2024-10-07"
231,254,79,49,"2024-10-06"
232,237,97,18,"2024-10-06"
233,131,85,85,"2024-10-06"
234,34,40,89,"2024-10-06"
235,148,66,24,"2024-10-06"
236,15,77,69,"2024-10-07"
237,131,19,42,"2024-10-06"
238,137,5,7,"2024-10-07"
239,213,45,25,"2024-10-07"
240,197,86,9,"2024-10-07"
241,149,17,66,"2024-10-06"
242,192,40,63,"2024-10-06"
243,52,45,68,"2024-10-07"
244,10,69,97,"2024-10-07"
245,275,16,41,"2024-10-07"
246,160,27,64,"2024-10-07"
247,34,66,28,"2024-10-07"
248,115,97,63,"2024-10-07"
249,239,64,98,"2024-10-07"
250,220,15,78,"2024-10-06"
251,192,39,0,"2024-10-07"
252,78,24,50,"2024-10-07"
253,60,41,7,"2024-10-07"
254,34,2,18,"2024-10-07"
255,64,62,75,"2024-10-07"
256,283,57,28,"2024-10-06"
257,33,27,37,"2024-10-07"
258,45,49,34,"2024-10-06"
259,145,94,36,"2024-10-06"
260,199,68,23,"2024-10-07"
261,200,8,42,"2024-10-06"
262,221,34,11,"2024-10-07"
263,174,42,99,"2024-10-07"
264,41,42,74,"2024-10-07"
265,235,39,77,"2024-10-06"
266,155,72,12,"2024-10-07"
267,11,70,59,"2024-10-06"
268,285,4,31,"2024-10-06"
269,209,49,63,"2024-10-07"
270,274,53,46,"2024-10-07"
271,210,74,57,"2024-10-06"
272,154,51,47,"2024-10-06"
273,274,30,72,"2024-10-06"
274,217,98,61,"2024-10-07"
275,51,67,96,"2024-10-07"
276,230,80,19,"2024-10-07"
277,136,5,39,"2024-10-06"
278,90,62,49,"2024-10-07"
279,117,8,86,"2024-10-06"
280,274,79,4,"2024-10-06"
281,267,81,43,"2024-10-06"
282,141,67,36,"2024-10-07"
283,190,64,54,"2024-10-07"
284,42,60,72,"2024-10-07"
285,38,12,36,"2024-10-07"
286,119,35,46,"2024-10-07"
287,175,63,10,"2024-10-06"
288,160,81,16,"2024-10-06"
289,65,23,17,"2024-10-06"
290,150,24,4,"2024-10-06"
291,70,41,49,"2024-10-06"
292,24,63,60,"2024-10-06"
293,287,78,35,"2024-10-06"
294,246,4,44,"2024-10-07"
295,288,10,99,"2024-10-06"
296,19,6,38,"2024-10-07"
297,202,28,14,"2024-10-07"
298,92,62,67,"2024-10-07"
299,4,99,71,"2024-10-06"
300,206,4,67,"2024-10-06"
301,115,68,21,"2024-10-06"
302,168,31,15,"2024-10-07"
303,12,87,83,"2024-10-07"
304,236,18,44,"2024-10-07"
305,217,44,62,"2024-10-07"
306,204,42,3,"2024-10-07"
307,24,22,75,"2024-10-07"
308,46,52,34,"2024-10-06"
309,225,73,85,"2024-10-06"
310,238,67,5,"2024-10-06"
311,270,46,77,"2024-10-06"
312,164,73,92,"2024-10-07"
313,2,18,15,"2024-10-07"
314,60,83,52,"2024-10-07"
315,164,67,96,"2024-10-06"
316,33,49,23,"2024-10-06"
317,21,7,26,"2024-10-06"
318,253,45,31,"2024-10-06"
319,7,61,27,"2024-10-06"
320,151,21,78,"2024-10-07"
321,177,17,23,"2024-10-07"
322,276,100,97,"2024-10-07"
323,268,10,64,"2024-10-06"
324,263,8,98,"2024-10-06"
325,101,86,55,"2024-10-06"
326,96,99,69,"2024-10-06"
327,214,54,11,"2024-10-06"
328,247,11,46,"2024-10-07"
329,105,20,83,"2024-10-06"
330,42,52,3,"2024-10-06"
331,293,43,69,"2024-10-06"
332,289,94,42,"2024-10-07"
333,159,19,12,"2024-10-06"
334,288,5,67,"2024-10-06"
335,95,96,5,"2024-10-06"
336,165,81,65,"2024-10-07"
337,20,28,19,"2024-10-06"
338,8,34,2,"2024-10-06"
339,137,90,47,"2024-10-06"
340,244,91,52,"2024-10-07"
341,230,37,63,"2024-10-07"
342,10,71,33,"2024-10-06"
343,102,76,3,"2024-10-06"
344,83,12,66,"2024-10-06"
345,171,43,19,"2024-10-06"
346,91,58,16,"2024-10-06"
347,30,27,88,"2024-10-07"
348,233,16,79,"2024-10-07"
349,274,100,99,"2024-10-06"
350,23,95,14,"2024-10-07"
351,197,93,79,"2024-10-07"
352,54,83,11,"2024-10-06"
353,255,9,32,"2024-10-07"
354,25,9,0,"2024-10-06"
355,53,16,48,"2024-10-06"
356,22,89,91,"2024-10-07"
357,225,96,81,"2024-10-06"
358,36,100,68,"2024-10-07"
359,292,7,63,"2024-10-07"
360,294,71,4,"2024-10-06"
361,188,63,75,"2024-10-06"
362,14,66,31,"2024-10-06"
363,64,78,53,"2024-10-07"
364,93,60,54,"2024-10-06"
365,121,20,73,"2024-10-06"
366,84,13,6,"2024-10-07"
367,139,92,83,"2024-10-06"
368,10,83,2,"2024-10-07"
369,108,6,15,"2024-10-07"
370,2,71,35,"2024-10-07"
371,94,42,55,"2024-10-07"
372,170,11,28,"2024-10-06"
373,239,52,54,"2024-10-07"
374,101,1,79,"2024-10-06"
375,206,19,25,"2024-10-06"
376,193,99,87,"2024-10-06"
377,276,84,80,"2024-10-07"
378,276,43,44,"2024-10-07"
379,7,32,76,"2024-10-07"
380,156,91,9,"2024-10-07"
381,228,73,54,"2024-10-07"
382,120,67,23,"2024-10-06"
383,129,51,83,"2024-10-07"
384,31,27,49,"2024-10-06"
385,295,47,3,"2024-10-06"
386,22,52,57,"2024-10-06"
387,216,59,4,"2024-10-06"
388,99,20,25,"2024-10-06"
389,118,59,52,"2024-10-07"
390,82,76,41,"2024-10-06"
391,258,74,11,"2024-10-07"
392,120,81,83,"2024-10-06"
393,25,35,76,"2024-10-06"
394,27,92,74,"2024-10-07"
395,194,87,85,"2024-10-06"
396,205,78,2,"2024-10-06"
397,281,47,69,"2024-10-07"
398,205,27,58,"2024-10-07"
