"trainingId","trainingName","description","domainName","domainId","duration","startDate"
1,"Multi-layered asynchronous monitoring","Creber bonus circumvenio.","DataEngineering",1,8,"2024-12-27"
2,"Digitized cohesive installation","Circumvenio aestivus excepturi deficio possimus utor saepe.","FullStack",2,1,"2025-06-11"
3,"Open-architected incremental service-desk","Quidem dolorem sollicito cruciamentum corpus minima.","DevOps",2,18,"2024-12-26"
4,"Phased didactic synergy","Cogito defessus dapifer amiculum suggero.","DataEngineering",1,7,"2024-12-27"
5,"Reactive object-oriented time-frame","Excepturi repellendus in conscendo tamen vulpes.","DevOps",1,9,"2025-04-23"
6,"Re-engineered interactive encryption","Minus audacia facere.","DevOps",3,10,"2025-06-10"
7,"Devolved coherent installation","Sui molestias comptus verbera vel ipsa tardus solus statim.","DataScience",2,2,"2025-03-04"
8,"Reverse-engineered empowering software","Tabernus error argentum cattus aperte depono conitor.","DataScience",2,3,"2025-06-20"
9,"Devolved clear-thinking hardware","Colligo thalassinus amor esse natus depromo varius delinquo.","DataScience",4,20,"2025-09-25"
10,"Business-focused mission-critical workforce","Ut virga celer vindico uter facere.","DataScience",1,2,"2025-08-28"
11,"Intuitive coherent definition","Viduo barba eligendi tot creta.","DataScience",3,16,"2024-12-11"
12,"Diverse user-facing paradigm","Benevolentia amiculum cui subiungo vespillo eius curso abundans voluntarius.","FullStack",2,7,"2025-06-20"
13,"Vision-oriented stable orchestration","Aliqua aperiam adipisci asper ut comedo sit traho clamo stips.","DataEngineering",4,6,"2025-05-19"
14,"Assimilated discrete adapter","Aegrus paens commodo quam aggredior vilicus.","DataEngineering",5,8,"2024-10-12"
15,"Customizable content-based orchestration","Supplanto deprecator tepesco coepi in versus reprehenderit aggero quidem terror.","DataEngineering",2,19,"2024-12-09"
16,"Streamlined content-based artificial intelligence","Atrocitas ulterius vir quia coerceo acceptus.","DataEngineering",5,18,"2024-11-27"
17,"Mandatory motivating hierarchy","Tamquam arbustum aestas conatus.","DataScience",1,11,"2024-11-05"
18,"Fully-configurable client-server help-desk","Volaticus calco magnam casus succedo qui antiquus teneo bonus.","DevOps",1,1,"2025-05-02"
19,"Quality-focused explicit toolset","Laborum tunc delectus venia templum molestiae sol vociferor.","DevOps",4,15,"2025-05-04"
20,"Total 6th generation internet solution","Vesica caelestis arcus depraedor suscipit maiores caries.","DevOps",3,2,"2024-10-26"
21,"Future-proofed upward-trending methodology","Bos supplanto peior ante reprehenderit sint terebro adiuvo defungo adnuo.","DataEngineering",5,11,"2024-12-06"
22,"Total tangible functionalities","Alii decretum demulceo corporis subnecto.","FullStack",3,7,"2025-03-10"
23,"Function-based 5th generation utilisation","Stabilis sopor quisquam molestias.","DataEngineering",5,19,"2025-05-06"
24,"Face to face hybrid workforce","Soleo sumptus suppellex ambulo dapifer taceo clibanus.","FullStack",4,11,"2025-07-12"
25,"Reactive methodical protocol","Accusamus tamquam tantum decens blanditiis valens solio adipiscor delectatio.","DataScience",1,5,"2024-12-09"
26,"Upgradable analyzing emulation","Aliqua temperantia terror.","SoftSkills",2,14,"2025-06-23"
27,"Adaptive attitude-oriented intranet","Suadeo verus vereor stips uberrime terra.","FullStack",4,9,"2024-10-11"
28,"Function-based executive hub","Virtus toties cenaculum aspernatur vestigium cultura terga defero voluptas currus.","DataEngineering",2,20,"2025-02-22"
29,"Versatile foreground architecture","Eveniet decet inventore terreo provident.","SoftSkills",3,4,"2024-11-12"
30,"Configurable high-level neural-net","Altus vilis utor solutio vitium decretum antea apto triduana.","DevOps",5,10,"2024-12-29"
31,"Open-source bottom-line benchmark","Dolorem tendo admoveo avaritia desparatus tabgo cultura tum tergeo.","DevOps",5,1,"2025-04-03"
32,"Front-line next generation Graphical User Interface","Ea venustas arguo acies repellendus arto.","SoftSkills",4,20,"2025-09-22"
33,"Horizontal real-time standardization","Viscus adulescens arbitro tutis arcus cresco astrum aestivus super summopere.","FullStack",2,8,"2025-07-18"
34,"Multi-lateral 24 hour orchestration","Cupressus tamdiu pectus copiose cibus conor vulgo sursum quos caste.","DataEngineering",1,3,"2024-10-31"
35,"Persevering asynchronous strategy","Uter terra tres ea colo.","DataEngineering",1,12,"2025-09-02"
36,"Seamless multi-state alliance","Terror valeo abstergo ulterius adversus culpo vereor maiores adstringo cohaero.","FullStack",4,17,"2025-03-29"
37,"Devolved contextually-based intranet","Alii earum demonstro bellum vel ulciscor tepidus.","SoftSkills",5,17,"2025-05-26"
38,"Fundamental regional extranet","Delicate reprehenderit tibi comedo creber animus thermae velociter sit.","SoftSkills",4,17,"2024-12-04"
39,"Realigned systematic info-mediaries","Adulatio defungo aegre.","DevOps",5,13,"2025-09-28"
40,"Profound background matrices","Aperiam cerno talus testimonium cometes antea absum tego.","DataEngineering",1,6,"2025-08-11"
41,"Optional client-driven firmware","Vorago ambulo carmen.","DataEngineering",2,1,"2025-08-14"
42,"Visionary incremental encoding","Vicinus utilis sordeo magni victus cena acerbitas coruscus patruus crustulum.","DataScience",2,12,"2025-07-26"
43,"Persistent actuating forecast","Illum optio taedium cohors bene.","DataEngineering",3,9,"2025-01-19"
44,"Managed attitude-oriented analyzer","Vulnero termes villa calcar apud cotidie unde.","FullStack",1,8,"2025-02-23"
45,"Multi-tiered 4th generation hierarchy","Terror ultio adipisci demum amo deserunt.","SoftSkills",5,16,"2024-12-18"
46,"Down-sized non-volatile implementation","Apparatus labore adimpleo vilicus aestus sordeo conscendo demitto.","DevOps",3,7,"2025-04-19"
47,"Profit-focused multi-state definition","Admoneo ambitus abutor decens beatae conscendo succurro deludo cito autus.","DevOps",5,5,"2025-08-16"
48,"Cross-platform directional analyzer","Tametsi dicta tergiversatio.","SoftSkills",4,8,"2025-09-06"
49,"Implemented dynamic time-frame","Corporis reiciendis agnosco constans tepesco pel quam.","SoftSkills",5,3,"2024-11-04"
50,"Multi-channelled zero tolerance intranet","Abeo autus tenus spectaculum certus totam tamen constans.","DataEngineering",2,6,"2025-08-19"
51,"Monitored didactic knowledge user","Ciminatio deduco angustus tener voluptates excepturi adversus tabella.","DevOps",4,2,"2025-05-02"
52,"Object-based even-keeled neural-net","Tredecim claustrum curriculum.","DataEngineering",5,1,"2025-03-01"
53,"Public-key coherent local area network","Capitulus consuasor vestigium patior.","SoftSkills",5,15,"2025-08-31"
54,"Fundamental global algorithm","Aggredior abutor vinitor solium adflicto approbo.","DataEngineering",4,3,"2025-08-11"
55,"Quality-focused directional archive","Aestivus verto apud tabula pax.","FullStack",3,5,"2024-10-30"
56,"Right-sized multi-state firmware","Cena cupiditate territo cognomen odit torqueo.","DataEngineering",1,6,"2025-09-11"
57,"Extended background adapter","Decumbo vero dolorum tertius cohibeo deprimo sustineo quidem crur tantillus.","DataEngineering",4,18,"2025-09-28"
58,"Function-based 24 hour focus group","Aetas surculus blandior uterque benigne tenuis tremo architecto temptatio.","DataEngineering",5,11,"2025-04-01"
59,"Re-contextualized object-oriented info-mediaries","Amplitudo terra defessus magnam curatio voluptatibus doloremque conatus eveniet auxilium.","DevOps",5,1,"2025-09-26"
60,"Quality-focused directional policy","Demitto testimonium expedita totidem officiis.","DataEngineering",2,7,"2025-04-08"
61,"Assimilated disintermediate analyzer","Commodo quo abbas id ipsum.","DataScience",4,19,"2025-01-19"
62,"Synergistic 6th generation data-warehouse","Cura sit creta caelestis caute cura.","DevOps",4,10,"2025-04-18"
63,"Synchronised dynamic architecture","Appello decens bonus creo ipsum commodo spoliatio urbs decimus.","DataScience",2,7,"2024-11-23"
64,"Public-key client-driven website","Eveniet quam quod cotidie alienus arcesso.","DevOps",5,4,"2025-07-05"
